driverId,name,ssn,location,certified,wage-plan
10,Kaitlyn Kelly,896-68-4074,"USNV Faulkner
FPO AA 01687",N,miles
11,Julie Hensley,794-20-9358,"Unit 3453 Box 0335
DPO AA 38356",Y,miles
12,Nicole Ward,389-62-4952,"1402 Carla Burg
Hopkinsmouth, ME 63328",Y,hours
13,Karen Hester MD,347-40-5827,"80787 Richard Spring
West Monique, MN 37126",N,hours
14,Timothy Moore,081-50-9767,"USCGC Cox
FPO AA 17068",Y,hours
15,Jesse Friedman,344-43-8728,"9333 Ferguson Inlet
South Andrew, AR 15556",N,miles
16,Tracey Martinez,684-61-6057,"544 James Point
East James, LA 71475",Y,miles
17,Robin Erickson,348-94-6762,"4667 Ariana Forest
West Joseph, IL 04515",N,hours
18,Patricia Nguyen,854-90-6402,"USNS Hill
FPO AA 01373",N,hours
19,James Murphy,524-09-7041,"78916 Jack Field
Lake Crystalbury, ND 16815",Y,hours
20,Monica Williams,846-40-1173,"2947 Richard Cape
Lake Tiffanyberg, VA 42604",Y,miles
21,David Wong,610-93-7742,"676 Brock Falls Apt. 618
Hawkinsview, AZ 73967",Y,hours
22,Denise Young,010-95-9184,"533 John Stravenue Suite 380
Thomasside, PW 93972",Y,miles
23,Miss Angela Shelton,429-20-7738,"40910 Ian Forge Suite 089
Herreraside, OH 41489",Y,miles
24,Joshua Barnett,133-05-9524,"Unit 1946 Box 6609
DPO AE 64667",N,hours
25,Gregory Lee,292-21-5950,"07797 Justin Roads Apt. 360
Zacharyburgh, MN 58783",N,hours
26,Jessica Duffy,673-82-3160,"841 Estrada Shores
North Frankstad, AL 01193",N,miles
27,Rebecca Smith,340-52-9216,"6953 Stone View
Anthonyton, PA 27210",N,hours
28,Tom Nichols,294-20-8981,"8730 Daniel Fords
Scottborough, MN 05017",N,hours
29,Anthony Griffin,495-57-1277,"7690 Aaron Spurs
Heatherberg, SC 91810",N,miles
30,Joel Acosta,548-76-5995,"52281 Perkins Walks Suite 561
West Carlos, MN 12186",N,hours
31,Elaine Lopez,599-50-2029,"Unit 2959 Box 4554
DPO AA 85712",Y,miles
